id;date;description;amount
1;2019-06-20T18:42:50;National Awesome sky blue;4522
2;2019-06-20T09:59:44;navigating;74732
3;2019-06-21T02:33:04;generating compelling;28093
4;2019-06-20T18:29:41;bifurcated scalable;16526
5;2019-06-21T07:16:27;Administrator;77224
6;2019-06-20T23:35:11;24 hour;1407
7;2019-06-20T13:29:33;monitor;72900
8;2019-06-20T14:05:58;Checking Account Identity deposit;91495
9;2019-06-20T12:20:57;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-20T17:04:53;New York tangible Mississippi;38292
