id;name;balance
1;probable unzip fully;16438.79
2;vista;16519.88
3;develop now gadzooks;24059.87
4;yowza hmph;9178.32
5;unexpectedly;29855.53
6;worth of nor;28423.67
7;ew trusting;13392.65
8;pitiful inquisitively;27407.82
9;trench;8875.26
10;flu;14775.32
11;ugh huzzah dreamily;8238.45
12;upside-down cone dull;17639.09
13;towards;15590.32
14;um showy;5401.92
15;another liberalize;16983.28
16;as beside strategy;27884.55
17;till between;5599.42
18;huzzah ornery fondly;7807.09
19;staid quiet simple;22428.42
20;randomize;4914.09
21;bustling so;6099.23
22;up;13696.16
23;meanwhile ad unhappy;22855.23
24;considering but ha;20165.26
25;yowza;4576
26;hence;11510.7
27;amidst;6279.08
28;playfully;11476.97
29;innocently;25252.52
30;ah deeply;21220.49
