id;label
1;provided
2;ambitious stealthily polite
3;knowledgeably phooey
4;so fast
5;festival sun veg
6;flash that austere
7;or by aha
8;standard
9;scaffold dreamily serenade
10;while apologise although
11;inside seriously beyond
12;kindheartedly
13;circle whereas stupendous
14;pomelo intelligent
15;saloon whoever
16;miserly far lest
17;underneath stiff custom
18;guzzle delete ha
19;juvenile
20;jaggedly incidentally
21;brr meh pressure
22;asX
23;besides beneath nice
24;pish french blissfully
25;yum
26;deduction per
27;cheerfully circa promise
28;which
29;anti
30;deafening because
