id;date;description;amount
1;2015-08-05T11:11:06;for dredger eek;15749.83
2;2015-08-05T04:44:12;honestly in ouch;16922.33
3;2015-08-05T00:50:25;cannibalise drat times;10409.86
4;2015-08-05T08:51:29;coil;22642.29
5;2015-08-04T23:16:25;slather if;5989.99
6;2015-08-05T11:22:44;briskly;9219.97
7;2015-08-05T03:48:59;bourgeoisie;21349.19
8;2015-08-05T08:03:54;from woot;4337.94
9;2015-08-05T12:00:25;distinction roughly geez;18657.99
10;2015-08-04T18:14:26;till;18740.16
11;2015-08-04T14:32:17;anxiously;9070.45
12;2015-08-04T14:18:45;boo schlep;30534.75
13;2015-08-05T06:58:30;kookily afore gosh;772.02
14;2015-08-05T04:01:20;through;6526.68
15;2015-08-05T04:17:30;justly verve grown;22662.95
16;2015-08-05T09:26:49;ceramics;26289.79
17;2015-08-04T14:52:43;if definite gadzooks;28630.52
18;2015-08-04T21:23:29;helplessly;20908.85
19;2015-08-05T04:56:23;phooey;5758.17
20;2015-08-05T00:10:43;converse plain during;26362.23
21;2015-08-05T07:50:18;gadzooks ha sheathe;18351.36
22;2015-08-05T03:14:42;unique aw curiously;23821.54
23;2015-08-04T15:11:17;however intently;28398.46
24;2015-08-05T01:03:54;er gadzooks powerfully;10686.99
25;2015-08-04T21:02:10;smog bah terribly;22162.42
26;2015-08-04T15:22:42;nor unique hence;4846.98
27;2015-08-04T18:24:53;hmph deliquesce burdensome;6919.31
28;2015-08-05T01:06:22;sequester obnoxiously patroller;15783.29
29;2015-08-05T09:11:09;deliberately till bracelet;27347.52
30;2015-08-05T06:41:36;drat though elegant;28551.13
